ID DGE;Nombre Playa o ZBM;Municipio;Isla;Provincia;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);Fecha de última actualización
103006600;Caleta del Marrajo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"290";"65";Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'40.75581691""N";"14°00'24.67495447""W";7/4/2025
103006700;Caleta del Marrajo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"100";"70";Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'47.41135096""N";"14°00'16.72617999""W";7/4/2025
103006800;El Charcón;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"325";"40";Roca / Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'28.51277466""N";"13°59'16.76042523""W";7/12/2023
103006900;Caleta de Beatriz;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"200";"18";Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'39.54658643""N";"13°58'49.95537083""W";7/12/2023
103007000;Punta Blanca;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"90";"12";Callaos / Grava / Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'51.69585311""N";"13°58'36.49729657""W";7/12/2023
103007100;Playa de Majanicho;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"150";"20";Callaos / Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;Coche;<5.000;"28°44'21.57658168""N";"13°56'15.10435601""W";7/12/2023
103007200;La Galera o Corralejo Viejo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;Si;No;No;No;No;No;Si;No;Si;Si;Si;Si;No;Si;"150";"30";Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;<5.000;"28°44'00.63801064""N";"13°51'59.96405664""W";7/4/2025
103007300;Dormidero del Bajo Negro;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"600";"35";Callaos / Arena;Dorada;Oleaje moderado / Ventosa;Urbana;A pie fácil;<5.000;"28°43'48.33218197""N";"13°51'21.55946172""W";7/4/2025
103007400;El Charco de las Agujas;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;Si;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;"700";"20";Callaos / Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil;<5.000;"28°43'37.99819113""N";"13°50'57.56648828""W";7/4/2025
103007500;Punta Prieta;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;"700";"60";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°43'33.35688771""N";"13°50'33.42007668""W";7/4/2025
103007600;Barreta de Arriba;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;Si;"450";"60";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°43'18.62818000""N";"13°50'31.25974764""W";7/4/2025
103007700;Playa de la Barreta;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;Si;No;No;No;Si;Si;No;No;No;"1000";"50";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°42'59.09179576""N";"13°50'22.36209316""W";7/4/2025
103007800;El Caserón;La Oliva;Fuerteventura;Las Palmas;Alto;Alta;Alto;Playa;No;No;null;null;null;null;Si;Si;No;Si;Si;Si;No;No;Si;"300";"45";Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil;<5.000;"28°42'35.37199305""N";"13°50'18.35131428""W";7/4/2025
103007900;Playa del Pozo;La Oliva;Fuerteventura;Las Palmas;Alto;Alta;Alto;Playa;No;No;null;null;null;null;Si;No;No;No;Si;Si;No;No;No;"500";"45";Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil;<5.000;"28°42'20.63165983""N";"13°50'15.37003577""W";7/4/2025
103008000;Playa del Bajo Negro;La Oliva;Fuerteventura;Las Palmas;Alto;Alta;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"800";"55";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°42'10.72741244""N";"13°50'11.53334004""W";7/4/2025
103008100;Barreta de Abajo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"900";"75";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°41'42.50421541""N";"13°49'56.22583792""W";7/4/2025
103008200;Bajo del Bajo Negro;La Oliva;Fuerteventura;Las Palmas;Moderado;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;"440";"30";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°41'20.62285252""N";"13°49'56.02810042""W";7/4/2025
103008300;Bajo del Dormidero;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;"560";"45";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie fácil;<5.000;"28°41'01.91911380""N";"13°49'56.79320194""W";7/4/2025
103008400;Playa de los Matos;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"450";"60";Callaos / Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°40'47.44035031""N";"13°49'56.04730314""W";7/4/2025
103008500;El Moro;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;"840";"30";Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°40'21.93023611""N";"13°50'00.39641470""W";11/4/2025
103008600;El Puertito de Lobos;La Oliva;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"140";"20";Roca / Callaos / Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Barco;<5.000;"28°44'16.25137266""N";"13°49'00.12769180""W";7/4/2025
103008700;El Aljibe ;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"1210";"30";Grava / Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°39'57.87824330""N";"14°00'43.06779322""W";7/12/2023
103008800;Piedra Playa;La Oliva;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"190";"35";Callaos / Grava / Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°40'24.55769331""N";"14°00'33.36804086""W";7/4/2025
103008900;Marfolín ;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;Si;Si;No;No;Si;Si;No;Si;No;No;No;No;No;"950";"30";Arena;Dorada;Oleaje fuerte / Ventosa;Semiurbana;A pie fácil / Coche;<5.000;"28°41'19.27460514""N";"14°00'46.05994950""W";7/4/2025
103009000;Playa de La Concha;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;Si;Si;No;No;No;No;Si;Si;No;Si;No;No;No;No;No;"200";"60";Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°41'37.39466009""N";"14°00'56.70581273""W";7/4/2025
103009100;El Jablito;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"38";"30";Arena;Blanca;Oleaje moderado / Ventosa;Semiurbana;A pie fácil;<5.000;"28°36'30.77557104""N";"13°49'34.87389132""W";7/12/2023
103009200;Bajo Medio;La Oliva;Fuerteventura;Las Palmas;Bajo;Alta;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"115";"36";Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;<5.000;"28°43'51.41748936""N";"13°51'43.65361658""W";7/4/2025
103009300;Las Clavellinas;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;Si;No;No;No;No;No;No;No;No;No;Si;Si;No;No;Si;"560";"55";Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;<5.000;"28°44'07.36948094""N";"13°52'02.47120473""W";7/4/2025
103009400;Playa del Hierro;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"850";"73";Roca / Arena;Blanca;Oleaje fuerte;Aislada;Coche;<5.000;"28°44'25.73811170""N";"13°57'01.79093531""W";7/12/2023
103009500;Punta Mallorquín;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"210";"43";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;<5.000;"28°39'00.02712411""N";"14°01'08.98174814""W";7/4/2025
103009600;Playa del Águila;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"600";"24";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;<5.000;"28°38'50.52935810""N";"14°01'17.81584939""W";7/4/2025
103009700;Playa de Esquinzo;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"300";"33";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie difícil;<5.000;"28°38'08.56532623""N";"14°01'33.68396102""W";7/12/2023
103009800;Playa del Tebeto;La Oliva;Fuerteventura;Las Palmas;Bajo;Baja;Alto;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"200";"30";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;<5.000;"28°35'25.94509241""N";"14°02'04.16017215""W";7/12/2023
103009900;Playa de La Concha;La Oliva;Fuerteventura;Las Palmas;null;null;;Playa;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;;;Arena;Dorada;;;;<5.000;"28°44'31.099""N";"13°49'36.934""W";20/3/2024
104015100;La Lajita;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;Si;Si;null;null;Si;Si;Si;Si;No;No;No;No;No;"915";"20";Callaos / Arena;Oscura;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°10'49.99553693""N";"14°09'19.19373218""W";7/12/2023
104015200;Matas Blancas;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;null;null;Si;Si;No;No;No;No;Si;No;Si;"1500";"35";Callaos / Grava / Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°10'20.30761541""N";"14°12'06.96638229""W";7/12/2023
104015300;Playa La Barca;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;No;Si;Si;null;null;Si;Si;Si;Si;Si;Si;Si;No;Si;"3600";"30";Arena;Dorada;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil;entre 20.000 y 100.000;"28°07'27.85945078""N";"14°15'03.08963572""W";10/3/2025
104015400;Esquinzo-Butihondo;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;"1500";"45";Arena;Dorada;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°04'19.39607232""N";"14°18'12.41014510""W";7/12/2023
104015500;Morro Jable;Pájara;Fuerteventura;Las Palmas;Moderado;Alta;Bajo;Playa;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;"1200";"45";Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°02'50.62570442""N";"14°20'37.55165404""W";7/12/2023
104015600;Las Coloradas;Pájara;Fuerteventura;Las Palmas;null;;;Playa;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;"230";"20";Callaos / Arena;Oscura;Oleaje moderado;Aislada;A pie fácil;entre 20.000 y 100.000;"28°03'16.39857388""N";"14°22'10.39774459""W";7/12/2023
104015700;Playa Morro de Potala;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"300";"25";Callaos / Grava / Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°04'28.36262138""N";"14°29'35.62704367""W";7/12/2023
104015800;Puertito de La Cruz;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"545";"20";Callaos / Grava / Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°04'20.63779684""N";"14°30'05.11494781""W";7/12/2023
104015900;Cofete;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"6100";"50";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;entre 20.000 y 100.000;"28°06'45.20217653""N";"14°23'08.36011196""W";7/12/2023
104016000;El Viejo Rey;Pájara;Fuerteventura;Las Palmas;Moderado;Baja;Medio;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"800";"18";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°12'43.59160034""N";"14°13'33.63815938""W";7/12/2023
104016100;La Pared;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;Si;"250";"18";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie fácil;entre 20.000 y 100.000;"28°13'05.25219225""N";"14°13'15.97543969""W";7/12/2023
104016200;Ugan;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"300";"30";Callaos / Grava / Arena;Oscura;Oleaje fuerte / Ventosa;Aislada;Coche;entre 20.000 y 100.000;"28°14'39.87575337""N";"14°12'44.65175460""W";7/12/2023
104016300;La Solapa;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;null;null;Si;No;No;No;No;No;No;No;No;"425";"30";Arena;Oscura;Oleaje fuerte / Ventosa;Aislada;Coche;entre 20.000 y 100.000;"28°21'51.07795549""N";"14°09'57.07682422""W";7/12/2023
104016400;Ajuy;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Bajo;Playa;No;No;No;Si;null;null;Si;Si;Si;Si;No;No;No;No;No;"270";"35";Callaos / Grava / Arena;Oscura;Oleaje fuerte / Ventosa;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°23'57.13793652""N";"14°09'22.83852226""W";7/12/2023
104016500;Tarajalejo  (Punta del Roquito);Pájara;Fuerteventura;Las Palmas;Bajo;Media;Bajo;Playa;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;"1370";"45";Callaos / Grava / Arena;Oscura;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°11'19.71468534""N";"14°07'40.54201723""W";7/12/2023
104016600;Costa Calma;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;null;null;Si;Si;Si;Si;Si;Si;Si;Si;Si;"1800";"30";Arena;Dorada;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°09'31.19606903""N";"14°13'33.57828782""W";7/12/2023
104016700;Playa del Matorral;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;"3000";"100";Arena;Dorada;Aguas tranquilas;Aislada;A pie fácil;entre 20.000 y 100.000;"28°02'47.32037841""N";"14°19'44.21477413""W";7/12/2023
104016800;Playa de Barlovento;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;"5700";"50";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;A pie difícil;entre 20.000 y 100.000;"28°07'44.20280280""N";"14°20'42.25348731""W";7/12/2023
104016900;Playa Roque del Moro;Pájara;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;null;null;No;No;No;No;No;No;No;No;No;"1940";"50";Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;entre 20.000 y 100.000;"28°06'10.41547161""N";"14°25'32.49398566""W";7/12/2023
104017000;Risco del Paso;Pájara;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;Si;null;null;null;null;Si;Si;Si;Si;No;No;Si;No;Si;"1500";"30";Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°06'40.78158632""N";"14°15'48.23679866""W";7/12/2023
105024101;Playa Blanca Sector 1 - BIkini;Puerto del Rosario;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;No;No;Si;"331";"45";Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°28'51.68855215""N";"13°52'03.74985622""W";7/12/2023
105024102;Playa Blanca Sector 2 - Casa Rita;Puerto del Rosario;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;No;Si;Si;Si;Si;No;Si;Si;No;No;Si;"302";"45";Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°28'38.44684448""N";"13°52'02.21542079""W";7/12/2023
105024103;Playa Blanca Sector 3 - Parador;Puerto del Rosario;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;No;No;Si;No;"242";"45";Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°28'30.60904153""N";"13°51'59.05310616""W";7/12/2023
105024200;Playa del Matorral;Puerto del Rosario;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"200";"15";Callaos / Roca;Oscura;Oleaje moderado;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°26'24.74439343""N";"13°51'40.44849906""W";7/12/2023
105024300;Playa de Las Caletillas;Puerto del Rosario;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"305";"15";Callaos / Grava / Arena;Oscura;Oleaje moderado;Aislada;A pie fácil / Coche;entre 20.000 y 100.000;"28°25'29.58920356""N";"13°51'29.46262320""W";7/12/2023
105024400;Playa de los Molinos;Puerto del Rosario;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;"200";"30";Callaos / Arena;Dorada;Oleaje fuerte / Ventosa;Semiurbana;Coche;entre 20.000 y 100.000;"28°32'36.99120038""N";"14°03'48.79465957""W";7/12/2023
105024500;Playa de Jarugo;Puerto del Rosario;Fuerteventura;Las Palmas;Bajo;Baja;Medio;Playa;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;"230";"40";Grava / Arena;Dorada;Oleaje fuerte / Ventosa;Aislada;Coche;entre 20.000 y 100.000;"28°34'14.94331515""N";"14°02'54.06895998""W";7/12/2023
105024600;Playa de Los Pozos;Puerto del Rosario;Fuerteventura;Las Palmas;Moderado;Media;Bajo;Playa;Si;Si;Si;Si;No;Si;No;Si;Si;Si;No;No;No;No;Si;"117";"26";Arena;Blanca;Aguas tranquilas;Urbana;A pie fácil;entre 20.000 y 100.000;"28°29'36.87270698""N";"13°51'44.76737388""W";7/12/2023
105024700;Playa de Puerto Lajas;Puerto del Rosario;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;Si;Si;Si;Si;No;Si;No;Si;Si;Si;No;No;No;No;No;"700";"31";Arena;Oscura;Oleaje moderado / Ventosa;Urbana;A pie fácil;entre 20.000 y 100.000;"28°32'08.73655800""N";"13°50'15.99753827""W";7/12/2023
106027100;Las Playitas;Tuineje;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;Si;null;null;null;null;No;No;No;Si;Si;Si;Si;No;Si;"700";"30";Callaos / Arena;Oscura;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;< 5.000;"28°13'40.99625425""N";"13°59'16.71633458""W";7/12/2023
106027200;Gran Tarajal;Tuineje;Fuerteventura;Las Palmas;Moderado;Media;Medio;Playa;No;Si;null;null;null;null;Si;Si;Si;Si;No;No;No;Si;Si;"560";"55";Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;< 5.000;"28°12'41.52759787""N";"14°01'06.36729537""W";7/12/2023
106027300;Giniginamar;Tuineje;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;null;null;null;null;Si;No;No;Si;No;No;No;No;No;"550";"48";Callaos / Grava / Arena;Oscura;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;< 5.000;"28°12'04.54313021""N";"14°04'31.63928921""W";7/12/2023
106027400;Tarajalejo;Tuineje;Fuerteventura;Las Palmas;Bajo;Baja;Bajo;Playa;No;Si;null;null;null;null;No;No;No;Si;No;No;Si;No;Si;"1370";"45";Callaos / Grava / Arena;Oscura;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;< 5.000;"28°11'27.38798936""N";"14°07'28.10842434""W";7/12/2023
207031100;Barlovento;Arrecife;Lanzarote;Las Palmas;Bajo;Baja;Bajo;Playa;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;"220";"10";Callaos / Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°58'37.69786927""N";"13°31'23.92328720""W";7/12/2023
